epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,245.546,1.10972,1.44783,1.03591,0.74439,0.45488,0.4915,0.3493,1.13609,1.20262,1.05083,0.00333179,0.00333179,0.00333179
2,480.279,1.04305,0.93938,0.98869,0.76474,0.46412,0.51993,0.37114,1.08402,1.08751,1.02583,0.00659914,0.00659914,0.00659914
3,709.757,1.04832,0.87006,0.99064,0.79361,0.45515,0.53625,0.37362,1.1501,1.11624,1.06096,0.00980049,0.00980049,0.00980049
4,941.818,1.02433,0.80285,0.98823,0.67442,0.46191,0.50979,0.35579,1.16418,1.101,1.06643,0.009703,0.009703,0.009703
5,1226.32,0.96996,0.72763,0.96936,0.62679,0.55715,0.5687,0.40186,1.11268,1.12385,1.04989,0.009604,0.009604,0.009604
6,1457.18,0.93788,0.67995,0.96178,0.58552,0.49389,0.53382,0.37118,1.15011,1.06447,1.06551,0.009505,0.009505,0.009505
7,1686.04,0.91647,0.64671,0.9513,0.746,0.55296,0.62734,0.43575,1.11627,0.96796,1.04196,0.009406,0.009406,0.009406
8,1913.02,0.8965,0.62531,0.9447,0.6721,0.57391,0.60303,0.41775,1.10182,1.03799,1.05058,0.009307,0.009307,0.009307
9,2145.32,0.88153,0.60517,0.93995,0.67906,0.49533,0.55807,0.39795,1.10407,1.02387,1.05292,0.009208,0.009208,0.009208
10,2379.74,0.86694,0.58886,0.93573,0.53516,0.56302,0.57166,0.40361,1.10681,1.02327,1.05053,0.009109,0.009109,0.009109
11,2611.23,0.86527,0.57412,0.93287,0.60085,0.52691,0.54672,0.38526,1.12106,1.06307,1.05606,0.00901,0.00901,0.00901
12,2843.28,0.84915,0.56443,0.92794,0.56985,0.55552,0.56331,0.40125,1.12866,1.10429,1.06691,0.008911,0.008911,0.008911
